iter	Passed	Remaining
427	1901	2541
428	1905	2536
429	1909	2530
430	1912	2524
431	1915	2519
432	1919	2514
433	1923	2507
434	1925	2501
435	1928	2494
436	1930	2487
437	1933	2481
438	1936	2474
439	1938	2467
440	1941	2460
441	1943	2453
442	1946	2447
443	1950	2442
444	1953	2436
445	1957	2431
446	1960	2425
447	1963	2419
448	1968	2415
449	1971	2409
450	1975	2404
451	1978	2398
452	1981	2393
453	1985	2387
454	1989	2382
455	1992	2377
456	1995	2371
457	1999	2365
458	2002	2360
459	2005	2354
460	2009	2349
461	2012	2343
462	2016	2338
463	2019	2332
464	2022	2327
465	2025	2321
466	2029	2316
467	2032	2310
468	2036	2305
469	2039	2299
470	2042	2294
471	2046	2289
472	2049	2283
473	2053	2278
474	2057	2274
475	2064	2272
476	2069	2268
477	2073	2264
478	2077	2259
479	2083	2256
480	2086	2251
481	2090	2246
482	2094	2242
483	2097	2236
484	2101	2231
485	2104	2225
486	2111	2224
487	2114	2218
488	2118	2213
489	2121	2208
490	2125	2203
491	2129	2198
492	2132	2192
493	2135	2187
494	2139	2182
495	2142	2177
496	2145	2171
497	2148	2166
498	2152	2160
499	2155	2155
500	2158	2149
501	2161	2144
502	2164	2139
503	2168	2134
504	2171	2128
505	2175	2123
506	2178	2118
507	2181	2113
508	2185	2108
509	2188	2103
510	2192	2098
511	2195	2092
512	2199	2088
513	2203	2083
514	2206	2078
515	2209	2072
516	2213	2067
517	2216	2062
518	2220	2057
519	2223	2052
520	2226	2047
521	2230	2042
522	2234	2037
523	2237	2032
524	2240	2027
525	2244	2022
526	2248	2018
527	2252	2013
528	2262	2014
529	2266	2009
530	2269	2004
531	2273	1999
532	2279	1997
533	2284	1993
534	2289	1989
535	2293	1985
536	2297	1980
537	2301	1976
538	2305	1972
539	2310	1967
540	2313	1963
541	2317	1958
542	2320	1953
543	2324	1948
544	2328	1943
545	2332	1939
546	2336	1934
547	2341	1931
548	2348	1929
549	2353	1925
550	2360	1923
551	2366	1920
552	2371	1916
553	2377	1914
554	2381	1909
555	2385	1905
556	2389	1900
557	2393	1896
558	2397	1891
559	2405	1890
560	2410	1886
561	2415	1882
562	2422	1880
563	2427	1876
564	2430	1871
565	2434	1866
566	2439	1863
567	2443	1858
568	2447	1854
569	2451	1849
570	2456	1845
571	2460	1841
572	2464	1836
573	2467	1831
574	2471	1826
575	2476	1822
576	2479	1818
577	2483	1813
578	2488	1809
579	2494	1806
580	2498	1801
581	2502	1797
582	2505	1792
583	2509	1787
584	2512	1782
585	2517	1778
586	2521	1774
587	2525	1769
588	2529	1765
589	2534	1761
590	2537	1756
591	2541	1751
592	2544	1746
593	2548	1741
594	2552	1737
595	2556	1732
596	2559	1727
597	2563	1723
598	2567	1718
599	2570	1713
600	2573	1708
601	2577	1703
602	2580	1698
603	2583	1693
604	2586	1688
605	2589	1683
606	2592	1678
607	2595	1673
608	2599	1668
609	2602	1663
610	2605	1658
611	2609	1654
612	2612	1649
613	2616	1644
614	2619	1639
615	2623	1635
616	2627	1630
617	2630	1626
618	2634	1621
619	2637	1616
620	2642	1612
621	2645	1607
622	2649	1603
623	2653	1599
624	2658	1595
625	2662	1590
626	2666	1586
627	2671	1582
628	2675	1578
629	2679	1573
630	2682	1568
631	2686	1564
632	2690	1559
633	2693	1555
634	2697	1550
635	2701	1545
636	2705	1541
637	2709	1537
638	2712	1532
639	2715	1527
640	2725	1526
641	2728	1521
642	2732	1516
643	2736	1512
644	2739	1508
645	2743	1503
646	2746	1498
647	2751	1494
648	2755	1490
649	2758	1485
650	2762	1480
651	2766	1476
652	2770	1472
653	2773	1467
654	2777	1462
655	2780	1458
656	2785	1454
657	2789	1449
658	2792	1445
659	2796	1440
660	2802	1437
661	2805	1432
662	2808	1427
663	2812	1423
664	2816	1418
665	2819	1413
666	2822	1409
667	2826	1404
668	2830	1400
669	2833	1395
670	2837	1391
671	2841	1386
672	2845	1382
673	2848	1377
674	2852	1373
675	2864	1372
676	2867	1368
677	2871	1363
678	2875	1359
679	2879	1354
680	2882	1350
681	2886	1345
682	2889	1341
683	2904	1341
684	2908	1337
685	2912	1333
686	2961	1349
687	2965	1344
688	2968	1340
