iter	Logloss
0	0.6851677895
1	0.6767460823
2	0.6685786247
3	0.6611872673
4	0.6539403439
5	0.6473631859
6	0.6399777412
7	0.6338008404
8	0.6280281067
9	0.6214089394
10	0.6161408424
11	0.6096294403
12	0.604254055
13	0.5995624065
14	0.5935988903
15	0.5880233765
16	0.5836169243
17	0.5778461456
18	0.5728997231
19	0.5684590816
20	0.563736248
21	0.5599596024
22	0.5549505711
23	0.5498271942
24	0.5449176311
25	0.5414370537
26	0.537980938
27	0.533476162
28	0.5299743652
29	0.5262536526
30	0.5225939274
31	0.5189944267
32	0.5164934635
33	0.5129314899
34	0.5091155529
35	0.5064072609
36	0.5031769753
37	0.5003962517
38	0.4973772049
39	0.4942993164
40	0.4911284447
41	0.4873843193
42	0.4848886013
43	0.4811951637
44	0.4787545681
45	0.4752271652
46	0.4725263596
47	0.470272541
48	0.4680341721
49	0.4656981468
50	0.4638633728
51	0.4613947392
52	0.4586717606
53	0.4563811779
54	0.4542993069
55	0.4522847652
56	0.4501134396
57	0.4482097626
58	0.4460507393
59	0.443915987
60	0.4417912006
61	0.4399049759
62	0.4381639481
63	0.4360855103
64	0.4337892056
65	0.4319444656
66	0.4303350449
67	0.4286604881
68	0.4273171902
69	0.4257713795
70	0.4235687256
71	0.422009182
72	0.4202513218
73	0.4183807373
74	0.4166876316
75	0.4150155544
76	0.4129963875
77	0.4114240646
78	0.410368824
79	0.4084981918
80	0.4071460247
81	0.4062121391
82	0.4050073624
83	0.4037680626
84	0.4025352478
85	0.4007775307
86	0.3990929604
87	0.3978167534
88	0.3965992451
89	0.3946913004
90	0.3936502695
91	0.3921019077
92	0.3911574841
93	0.3896328211
94	0.3885055304
95	0.3872514248
96	0.3857276201
97	0.3844367981
98	0.3830403805
99	0.3817471504
100	0.3806595802
101	0.3794620991
102	0.3780082226
103	0.3766488552
104	0.375023222
105	0.373699522
106	0.3721441031
107	0.3711506605
108	0.3700024128
109	0.3691195965
110	0.3680302143
111	0.3670775414
112	0.3661275864
113	0.3653825998
114	0.3640268087
115	0.3629831553
116	0.3619522095
117	0.3604485989
118	0.3590498209
119	0.3577545643
120	0.3564145565
121	0.3555936337
122	0.3547993183
123	0.3540137768
124	0.3531928062
125	0.3523364544
126	0.3512619972
127	0.3505655527
128	0.3498142958
129	0.3488421679
130	0.3479714394
131	0.3470662117
132	0.3462893724
133	0.3453743219
134	0.3445667744
135	0.3436064243
136	0.3425776958
137	0.3420090199
138	0.3410774469
139	0.3398449898
140	0.3389508009
141	0.3380850077
142	0.3376327038
143	0.3366221905
144	0.3356386662
145	0.3349854469
146	0.3342561722
147	0.3333002567
148	0.3321980953
149	0.3316154003
150	0.3308841467
151	0.3302279949
152	0.3295387745
153	0.3289875507
154	0.3282568216
155	0.3271996975
156	0.3266872406
157	0.3259759903
158	0.3253511906
159	0.3246359348
160	0.3240644217
161	0.3232060432
162	0.3224281549
163	0.3216275692
164	0.3208181381
165	0.3202835798
166	0.3195322514
167	0.318793726
168	0.3180859566
169	0.3174399853
170	0.3167321205
171	0.3163174629
172	0.3157664776
173	0.3151271582
174	0.314707303
175	0.3139946938
176	0.313338685
177	0.3125672579
178	0.3118886709
179	0.3114717007
180	0.3111394405
181	0.3106043339
182	0.310089159
183	0.3094133854
184	0.3086904764
185	0.3078561306
186	0.3071083546
187	0.306442976
188	0.3059396744
189	0.3054942608
190	0.3045346737
191	0.3036260605
192	0.3029525757
193	0.3023822308
194	0.3018537283
195	0.30119102
196	0.3005202055
197	0.2999481678
198	0.2992160559
199	0.2984814167
200	0.2978409767
201	0.2973769903
202	0.2967886448
203	0.2964618683
204	0.2956073761
205	0.2952438831
206	0.2945316076
207	0.2939954281
208	0.2935702801
209	0.2930459023
210	0.2924002171
211	0.2918471813
212	0.2914407253
213	0.2909707546
214	0.2904826164
215	0.2900666952
216	0.2897487164
217	0.2892989635
218	0.2888200283
219	0.2883655548
220	0.2880226612
221	0.2875837326
222	0.2870840073
223	0.2867189169
224	0.2862984657
225	0.2857566595
226	0.2850722313
227	0.284461689
228	0.283914423
229	0.2835199833
230	0.2831758022
231	0.282844305
232	0.2821742773
233	0.2818358898
234	0.2812081575
235	0.280620265
236	0.2803534508
237	0.2801740646
238	0.2796544552
239	0.2789913177
240	0.2785682201
241	0.2780864239
242	0.2776966333
243	0.2771150112
244	0.2764144897
245	0.2760560989
246	0.2757436514
247	0.2754481316
248	0.274962759
249	0.2746068954
250	0.274258852
251	0.2738778114
252	0.2734448433
253	0.2731397629
254	0.2727280617
255	0.2723537922
256	0.2719209909
257	0.2714748859
258	0.271089983
259	0.2708928347
260	0.27049191
261	0.2700489283
262	0.2695384741
263	0.2691990852
264	0.2687610149
265	0.2683269024
266	0.267811203
267	0.2676292896
268	0.2673058271
269	0.2667477608
270	0.2663038254
271	0.2659002304
272	0.2655113697
273	0.2652224064
274	0.2647060394
275	0.2644331694
276	0.2640504122
277	0.2636398554
278	0.2631582499
279	0.2628836155
280	0.262522459
281	0.2621233225
282	0.2618479967
283	0.2612720013
284	0.2609322071
285	0.2604656458
286	0.2600901604
287	0.2598116875
288	0.2593664169
289	0.2590942383
290	0.2589980602
291	0.2586386204
292	0.258340764
293	0.2580584526
294	0.2578050852
295	0.2574254513
296	0.2570192814
297	0.2566764355
298	0.2560600281
299	0.255624485
300	0.2553201199
301	0.2551187754
302	0.2546292305
303	0.2542966366
304	0.2538750172
305	0.2535933971
306	0.2533776522
307	0.2529634476
308	0.2525471687
309	0.2522616386
310	0.2518532038
311	0.2516718864
312	0.251422596
313	0.2511523724
314	0.2509227276
315	0.2504401207
316	0.2501848221
317	0.2497942924
318	0.2493367434
319	0.2486905575
320	0.248345685
321	0.2479560375
322	0.2477736712
323	0.2475829601
324	0.2471184254
325	0.2467947006
326	0.2464706421
327	0.2459945202
328	0.2456886768
329	0.2452848434
330	0.2448869705
331	0.2446797371
332	0.2443497419
333	0.2442126513
334	0.243852663
335	0.2435938358
336	0.2432978868
337	0.2431049585
338	0.2428975821
339	0.2424065113
340	0.2422608376
341	0.2418445349
342	0.2414772034
343	0.241304636
344	0.2411039352
345	0.2409267902
346	0.2405656576
347	0.2399950504
348	0.2397205353
349	0.2395365238
350	0.2392810822
351	0.2389658928
352	0.2386719704
353	0.2384194374
354	0.2381582737
355	0.2378196239
356	0.2373520613
357	0.2369073391
358	0.2366813183
359	0.2363329411
360	0.2361068487
361	0.2358268499
362	0.2355166435
363	0.2352841377
364	0.2351174116
365	0.2348630667
366	0.234540844
367	0.2343702555
368	0.234098196
369	0.2337063313
370	0.233438158
371	0.2329017878
372	0.2326262474
373	0.2323266506
374	0.2321609974
375	0.2319842815
376	0.2317771673
377	0.2315432072
378	0.2312743902
379	0.2308554173
380	0.2306060076
381	0.2303464174
382	0.2300419807
383	0.2297757149
384	0.2295936584
385	0.2293906212
386	0.2292619228
387	0.2291639566
388	0.2290031672
389	0.2288257122
390	0.2286289692
391	0.2284352541
392	0.2280737638
393	0.2277589083
394	0.2276144981
395	0.2273100138
396	0.2270105124
397	0.2267519951
398	0.2263525724
399	0.2261955738
400	0.2259496212
401	0.2256422043
402	0.2253184795
403	0.2250469208
404	0.2248420715
405	0.2245930672
406	0.2243037701
407	0.2238226175
408	0.2235002995
409	0.22304492
410	0.2227974176
411	0.2225553513
412	0.2224573612
413	0.2221530914
414	0.2218782902
415	0.2215809345
416	0.2213521004
417	0.221020031
418	0.2208081007
419	0.220544219
420	0.2204337835
421	0.2201076031
422	0.2198830843
423	0.2195729017
424	0.219491148
425	0.2192685366
426	0.219088912
427	0.2189861536
428	0.2187110186
429	0.2185272694
430	0.2182775974
431	0.218024826
432	0.2178380013
433	0.217675066
434	0.2174130917
435	0.217048192
436	0.2168094635
437	0.2165879965
438	0.2163112402
439	0.2161183119
440	0.2157748938
441	0.2155734539
442	0.2153453112
443	0.2150640011
444	0.2147261381
